gals,field,morph,z,log_m,r_edge,sigma_edge,ar,pa,f1_maj,rec_maj,prec_maj,r_05,Deltar_05
2333,uds,DISK,0.6703000068664551,10.502,11.5,11.108,0.6935,7.3917,0.861,0.986,0.764,12.699582177287864,0.029024058265117003
8942,goodss,DISKSPH,0.6713,11.157,21.5,4.804,0.65,-14.0,0.867,0.944,0.803,24.322046315883536,0.11163679207815613
3139,cosmos,DISK,0.8533999919891357,10.365,10.5,4.845,0.41,65.2525,0.821,0.992,0.701,11.944734321324932,0.04710343193177491
4781,cosmos,DISK,0.602918788650939,10.695,13.5,11.536,0.7799,1.6602,0.883,0.836,0.936,14.793431800682882,0.21611504175065865
12639,cosmos,DISKSPH,0.671,10.432,12.5,7.656,0.1984,-50.6823,0.498,1.0,0.331,16.729194652445855,0.05178500585209922
4649,cosmos,DISKSPH,0.7577000260353088,10.696,17.5,4.106,0.8781,-26.4115,0.852,0.781,0.937,19.38511722423894,0.1418120913887878
19472,cosmos,DISK,0.6054,10.155,12.5,5.295,0.4903,35.0916,0.898,0.97,0.835,14.750132666920845,0.022245949715052005
270,cosmos,DISK,0.6800000071525574,10.802,13.5,3.773,0.239,79.8405,0.756,0.95,0.627,12.963894921374184,0.11990190911884746
8430,uds,DISK,0.3505,10.517,12.5,5.751,0.3682,-15.9773,0.793,0.999,0.657,12.95835422522954,0.06584717019431863
7215,uds,DISK,0.6761999726295471,10.489,14.5,3.846,0.9641,87.7881,0.842,0.727,1.0,13.534859815456086,0.06817776216338911
23855,goodsn,DISKIRR,0.8391,10.562,12.5,5.374,0.4016,2.2322,0.845,0.839,0.851,9.783439372819732,0.007688197516566131
20693,egs,DISKIRR,0.9370999932289124,10.988,16.5,18.166,0.5784,-73.8784,0.751,0.879,0.656,18.82010966318193,0.004743109743758689
19639,cosmos,DISKSPH,0.7020999789237976,10.289,12.5,7.376,0.8897,-75.0786,0.817,0.759,0.884,13.334914483958054,0.3807910779719248
21059,goodsn,DISK,0.9525,10.649,9.0,14.305,0.2865,32.6368,0.437,1.0,0.28,12.10402019706943,0.055379604122538395
632,goodsn,DISK,0.6344,10.749,12.5,12.22,0.8601,-47.7483,0.914,0.842,1.0,12.272469991621227,0.07045982129860329
3875,goodsn,DISK,0.753,10.245,11.5,4.749,0.3095,53.6723,0.629,0.992,0.461,15.306254480806912,0.22433270596386212
9846,goodsn,DISK,0.842,10.364,15.5,1.949,0.6946,-45.6602,0.909,0.836,0.996,15.40102340419201,0.07588837206484855
2080,cosmos,DISKSPH,0.930899977684021,10.455,8.5,20.415,0.5515,-27.403,0.81,0.998,0.682,9.543193758685137,0.061812599198856844
28874,egs,DISKIRR,0.7095999717712402,10.598,15.5,9.749,0.41,-25.0,0.808,0.987,0.683,16.09481389818609,0.017732544377094484
29039,egs,DISKSPH,0.9708999991416932,10.642,10.5,1.331,0.2957,43.8934,0.494,1.0,0.328,13.2556488103423,0.35216582432617494
25748,egs,DISKIRR,0.9146999716758728,10.511,15.5,9.518,0.8693,-59.639,0.85,0.74,1.0,14.588185107740825,0.04451406714926065
21205,egs,DISK,0.8763999938964844,10.364,10.5,6.715,0.6088,-23.4076,0.911,0.893,0.93,10.371834193389647,0.13166826615630367
24710,goodsn,DISK,0.513,10.123,9.5,2.888,0.1959,-11.8556,0.592,0.998,0.421,9.829470894512147,0.09196014591602308
24921,goodsn,DISKSPH,0.938,11.185,19.5,8.724,0.5086,-24.1859,0.813,0.688,0.992,15.718099693502294,0.09701350210281912
16499,cosmos,DISKSPH,0.2212,10.448,15.5,2.192,0.5,65.0,0.893,0.844,0.949,14.365205477554698,0.11079978321685502
278,goodss,DISK,0.6164000034332275,10.438,14.5,4.513,0.9316,-50.203,0.927,0.874,0.985,15.37353157646368,0.012994406363265654
24935,goodsn,DISKSPH,0.967,10.676,11.5,18.915,0.5306,-44.739,0.839,0.911,0.777,13.895119454198406,0.2163434125467817
17949,goodss,DISK,0.975,11.024,10.5,53.973,0.5109,-47.3668,0.62,0.993,0.45,12.850444852587156,0.10033769380207425
15603,cosmos,DISKSPH,0.2216,10.347,12.5,4.795,0.79,-30.0,0.915,0.917,0.914,12.601228268683528,0.14943568903177284
17179,uds,DISK,0.4717999994754791,10.39,10.0,1.165,0.2087,-25.3564,0.463,1.0,0.301,11.515744719110991,0.07498620425574787
13581,uds,DISKIRR,0.7958999872207642,10.957,14.5,11.429,0.6678,-22.5884,0.847,0.904,0.797,19.342725532201175,0.028514650762151983
11387,cosmos,DISKSPH,0.475360022479435,10.949,28.5,0.817,0.5212,-55.9369,0.77,0.626,1.0,22.767640715480308,0.10291997443455714
30153,egs,DISKSPH,0.3438000082969665,10.476,12.5,3.55,0.78,0.0,0.94,0.887,0.999,12.025325281378032,0.13869879681305686
18527,goodsn,DISKIRR,0.97,10.385,7.5,35.977,0.5616,26.2097,0.872,0.982,0.785,8.598704985846366,0.0
19279,egs,DISK,0.3560999929904938,10.605,15.5,0.98,0.7721,51.6948,0.787,0.648,1.0,13.971485292397361,0.13205046155404798
23496,goodsn,DISKSPH,0.8558,10.72,12.5,8.558,0.5682,-15.788,0.898,0.923,0.874,12.39922131795968,0.21303726592195849
10010,egs,DISK,0.4041999876499176,10.455,9.5,9.789,0.5985,-38.3059,0.834,0.989,0.721,12.12160601064733,0.01843642655679112
14859,goodss,DISKSPH,0.973900020122528,10.585,12.5,12.928,0.5499,-43.2685,0.897,0.97,0.834,12.228659897775067,0.030181057883583606
13537,goodsn,DISK,0.8405,11.153,21.5,8.296,0.8816,84.4046,0.947,0.94,0.954,22.192472831896897,0.0715233091147407
18674,goodss,DISK,0.7684,10.553,11.5,11.77,0.3879,-54.288,0.651,1.0,0.482,19.589825240409056,0.3699879627379207
15006,uds,DISK,0.3064,10.186,14.5,1.436,0.7244,-87.0084,0.731,0.605,0.923,11.249673602774779,0.023816441185516957
16652,egs,DISKIRR,0.9764000177383424,10.516,11.5,11.78,0.785,-34.882,0.885,0.902,0.868,11.663438873605116,0.08407086819086029
1656,goodsn,DISK,0.4751,10.593,13.5,8.47,0.3445,16.4603,0.839,0.951,0.75,14.645152231660056,0.023046638870367953
18011,egs,DISK,0.5009999871253967,10.36,16.5,2.5,0.5999,51.8829,0.75,0.835,0.68,22.26580469414639,0.04096939761425522
17667,cosmos,DISKSPH,0.8707000017166138,10.446,14.5,7.491,0.83,70.0,0.892,0.881,0.903,15.989664508070307,0.05339535599404199
18554,uds,DISK,0.9366999864578248,10.288,9.0,2.421,0.2992,73.9872,0.767,0.994,0.624,9.937314879447456,0.03687913014266431
1742,goodss,DISKSPH,0.838,10.669,14.5,3.36,0.9056,8.5273,0.829,0.711,0.994,14.122056989504792,0.02550898479265995
21627,goodss,DISKSPH,0.998,11.123,19.5,9.333,0.825,90.0,0.899,0.818,1.0,18.18155079081363,0.36986581918299744
25113,egs,DISKSPH,0.7482,10.927,13.5,13.234,0.5683,61.2764,0.898,0.877,0.92,12.8476653278004,0.0598196775687192
4536,cosmos,DISK,0.360347130175077,10.802,23.5,5.713,0.8,80.0,0.805,0.677,0.993,23.587763694843744,0.30422822660319293
12408,goodss,DISK,0.671,10.508,9.5,14.578,0.3252,-12.7375,0.669,0.971,0.51,9.701410079599102,0.07855732474907318
18285,uds,DISK,1.0917999744415283,10.963,18.5,28.289,0.7,35.0,0.95,0.913,0.99,19.20384825380261,0.03238391690439568
10740,goodsn,DISK,0.909,10.46,8.5,21.316,0.592,50.6671,0.722,1.0,0.565,10.97404750704721,0.21232115922517036
6537,goodsn,DISKSPH,0.9447,10.842,7.5,31.356,0.9274,-63.8452,0.786,0.993,0.65,14.716429532338227,0.37496114110438405
23519,goodsn,DISK,0.4381,10.321,12.5,6.718,0.5526,-66.1165,0.935,0.946,0.925,12.957637565247069,0.010050506338833531
19866,egs,DISK,0.3559,10.943,26.5,2.785,0.17,-50.0,0.787,0.994,0.652,30.313900803618584,0.03946182581959323
7891,uds,DISK,0.6511,10.538,19.5,2.231,0.579,39.0264,0.861,0.762,0.99,20.471543253171998,0.016031016362804018
11952,goodsn,DISKSPH,0.476,10.585,13.5,5.593,0.633,-75.0362,0.946,0.955,0.937,14.107842447671171,0.20625448103199395
17146,egs,DISKSPH,0.6520000100135803,10.441,13.5,5.142,0.7722,-13.9939,0.933,0.898,0.97,13.553893827756248,0.04586302949179988
16803,goodsn,DISK,0.913,10.711,14.5,2.858,0.2858,-5.804,0.871,1.0,0.771,14.738402839705506,0.010706400729384447
9464,uds,DISK,0.9232000112533568,11.112,17.5,10.782,0.4741,-31.1981,0.897,0.855,0.944,20.266873653851604,0.08481656901015866
19762,goodss,DISK,0.525,10.204,14.5,3.132,0.2652,-80.6433,0.817,0.996,0.693,14.401186542424316,0.02516343378117769
927,egs,DISKSPH,1.0974,11.195,10.5,37.873,0.3791,-84.9138,0.684,0.971,0.528,10.057222269718709,0.05369828497091733
3008,cosmos,DISK,0.6640999913215637,10.518,21.5,1.119,0.5,-20.0,0.765,0.619,1.0,20.700099393311966,0.16673514387072108
9425,uds,DISKSPH,0.6495,11.159,15.5,19.537,0.6541,-86.4701,0.863,0.759,1.0,14.185865239443908,0.04612828711865391
7717,goodss,DISK,0.559,10.464,16.5,1.754,0.525,65.0,0.937,0.944,0.93,15.899676453575376,0.06137163878566554
16436,egs,DISKIRR,0.2483000010251999,10.37,8.5,9.425,0.6424,0.5538,0.887,0.984,0.807,8.665162767342167,0.06993453419549656
11154,goodsn,DISK,0.937,10.806,17.5,4.175,0.325,-1.7089,0.841,0.835,0.846,13.998932508537433,0.054507181165555973
4914,cosmos,DISK,0.3812,10.3,17.5,1.701,0.3215,6.0774,0.894,0.877,0.912,18.80043220687103,0.016624752573405344
18190,cosmos,DISKSPH,0.6759999990463257,10.911,12.5,27.257,0.9,0.0,0.953,0.966,0.939,13.367142749418987,0.03823079691643272
11332,cosmos,DISK,0.365799993276596,10.615,17.5,3.466,0.5027,-33.1616,0.756,0.898,0.652,22.26134112990106,0.024791358254894313
12850,uds,DISK,0.9217,11.338,18.5,26.053,0.9,50.0,0.869,0.77,0.998,18.183807944949464,0.325123116583779
